location,nickname,displayName,logo
Arizona,Cardinals,Arizona Cardinals,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png
Atlanta,Falcons,Atlanta Falcons,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png
Baltimore,Ravens,Baltimore Ravens,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png
Buffalo,Bills,Buffalo Bills,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png
Carolina,Panthers,Carolina Panthers,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png
Chicago,Bears,Chicago Bears,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png
Cincinnati,Bengals,Cincinnati Bengals,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png
Cleveland,Browns,Cleveland Browns,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png
Dallas,Cowboys,Dallas Cowboys,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png
Denver,Broncos,Denver Broncos,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png
Detroit,Lions,Detroit Lions,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png
Green Bay,Packers,Green Bay Packers,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png
Houston,Texans,Houston Texans,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png
Indianapolis,Colts,Indianapolis Colts,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png
Jacksonville,Jaguars,Jacksonville Jaguars,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png
Kansas City,Chiefs,Kansas City Chiefs,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png
Las Vegas,Raiders,Las Vegas Raiders,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png
Los Angeles,Chargers,Los Angeles Chargers,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png
Los Angeles,Rams,Los Angeles Rams,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png
Miami,Dolphins,Miami Dolphins,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png
Minnesota,Vikings,Minnesota Vikings,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png
New England,Patriots,New England Patriots,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png
New Orleans,Saints,New Orleans Saints,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png
New York,Giants,New York Giants,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png
New York,Jets,New York Jets,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png
Philadelphia,Eagles,Philadelphia Eagles,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png
Pittsburgh,Steelers,Pittsburgh Steelers,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png
San Francisco,49ers,San Francisco 49ers,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png
Seattle,Seahawks,Seattle Seahawks,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png
Tampa Bay,Buccaneers,Tampa Bay Buccaneers,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png
Tennessee,Titans,Tennessee Titans,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png
Washington,,Washington,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png
